reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
137200.0,501(c)(3),MO,1920,324934,459319.0,480701.0,595845.0,53578,P,137200,1.0,13,13,7,150,327709,8
129537.0,501(c)(3),MO,1969,4723843,317500.0,2108372.0,2112047.0,53578,O,129537,1.0,54,53,97,2745,1053276,2
99441.0,501(c)(3),MO,1916,11550364,2158863.0,2900039.0,3393382.0,53578,T,99441,1.0,32,32,12,1029,421273,3
104736.0,501(c)(3),MO,1897,5430123,1866390.0,4487162.0,4648317.0,53578,T,104736,1.0,9,9,148,921,3653699,8
107730.0,501(c)(3),MO,1882,8433664,594070.0,2547414.0,2336806.0,53578,P,107730,1.0,23,23,265,134,1196784,2
420659.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.42104004123731975,18,17,808,100,25312707,1
159394.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.1595383822359235,18,17,808,100,25312707,1
58789.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.05884225223827564,18,17,808,100,25312707,1
185496.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.1856640259434789,18,17,808,100,25312707,1
67306.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.06736696710523023,18,17,808,100,25312707,1
107451.0,501(c)(3),MO,1906,677488028,31276805.0,78992728.0,100879597.0,53578,B,999095,0.107548331239772,18,17,808,100,25312707,1
73116.0,501(c)(1),MO,1933,8537051,7670514.0,517502.0,572365.0,53578,W,73116,1.0,9,9,7,11,234818,7
177792.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.11138404981308817,19,19,2138,400,47436748,2
122260.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.0765940758310169,19,19,2138,400,47436748,2
235744.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.14769011788571282,19,19,2138,400,47436748,2
331773.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.2078508614484212,19,19,2138,400,47436748,2
209890.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.13149297052324668,19,19,2138,400,47436748,2
143386.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.08982920135045143,19,19,2138,400,47436748,2
202393.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.126796211268338,19,19,2138,400,47436748,2
172969.0,501(c)(3),MO,1879,169562751,37450104.0,86849585.0,90625891.0,53578,B,1596207,0.10836251187972487,19,19,2138,400,47436748,2
209008.0,501(c)(3),MO,1989,111599747,47641420.0,144764054.0,149325922.0,53578,E,948917,0.22025951690189974,13,8,1009,132,50834581,3
153028.0,501(c)(3),MO,1989,111599747,47641420.0,144764054.0,149325922.0,53578,E,948917,0.1612659484443845,13,8,1009,132,50834581,3
586881.0,501(c)(3),MO,1989,111599747,47641420.0,144764054.0,149325922.0,53578,E,948917,0.6184745346537157,13,8,1009,132,50834581,3
72845.0,501(c)(6),MO,1956,409282,5025.0,728912.0,737615.0,53578,B,72845,1.0,25,25,10,40,291652,2
96635.0,501(c)(6),MO,1946,4593189,1427642.0,6181814.0,6327602.0,53578,S,408472,0.23657680330597936,22,22,38,18,1935556,1
64035.0,501(c)(6),MO,1946,4593189,1427642.0,6181814.0,6327602.0,53578,S,408472,0.15676717131161988,22,22,38,18,1935556,1
81882.0,501(c)(6),MO,1946,4593189,1427642.0,6181814.0,6327602.0,53578,S,408472,0.20045927260620067,22,22,38,18,1935556,1
165920.0,501(c)(6),MO,1946,4593189,1427642.0,6181814.0,6327602.0,53578,S,408472,0.4061967527762001,22,22,38,18,1935556,1
